Cells,"Selection step (T0, black and white)",Final,Time point 1,Time point 2,Time point 3,Time point 4,Time point 5,Time point 6,Time point 7,Time point 8,Time point 9,Time point 10,Time point 11,Time point 12,Time point 13,Time point 14,Time point 15,Time point 16
chip6_1851027105_site_36_S70,TU-NK,TU-NK,0,0,0,0,0,3.64,5.772,6.55,6.642,7.846,9.545,9.944,10.232,7.397,7.485,8.796
chip8_1851022116_site_13_S109,TU-NK,TU-NK,5.701,4.373,5.263,4.603,4.799,4.773,7.134,6.509,6.103,7.577,7.769,6.839,5.935,6.704,5.315,5.701
chip8_1851022116_site_15_S111,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_18_S114,TU-NK,TU-NK,1.414,4.18,3.375,4.259,4.438,5.102,13.176,15.763,17.159,15.536,15.331,16.221,14.605,15.168,13.786,19.768
chip8_1851022116_site_19_S116,TU-NK,TU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_20_S117,TU-NK,TU-NK,0,1.7,0,1.9,1.7,0,0.527,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_22_S119,TU-NK,TU-NK,2.134,2.5,1.944,2.544,2.759,2.321,1.014,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_23_S120,TU-NK,TU,0,0,0,3.236,1.641,2.539,12.168,12.693,13.049,10.638,13.039,13.737,13.038,13.408,12.76,13.683
chip8_1851022116_site_24_S121,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_25_S125,TU-NK,TU,5.893,5.367,4.634,2.828,2.734,2.828,5.603,5.503,5.974,5.459,6.574,5.548,5.459,5.375,5.297,4.631
chip8_1851022116_site_26_S124,TU-NK,TU-NK,0,0,0,0,0,0,2.427,1.863,1.772,1.863,1.772,1.886,2.004,2.007,1.912,1.875
chip8_1851022116_site_27_S123,TU-NK,TU-NK,0,2.404,1.772,1.803,1.302,1.537,2.034,1.65,1.202,2.539,1.532,0,3.682,4.216,3.288,3.727
chip8_1851022116_site_28_S128,TU-NK,TU-NK,0,0,0,0,0,1.374,4.327,3.902,3.808,4.028,4.272,4.272,4.059,3.962,2.693,2.55
chip8_1851022116_site_29_S127,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_30_S126,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_31_S131,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip8_1851022116_site_32_S130,TU-NK,TU-NK,4.333,4.055,3.563,4.693,4.679,4.447,5.233,4.853,5.622,5.209,5.375,6.346,5.588,4.22,4.809,4.905
chip8_1851022116_site_33_S129,TU-NK,TU-NK,0,0,0,0,0,0,1.716,1.675,1.179,0,0.745,0.972,0,0,1.5,0
chip8_1851022116_site_34_S134,TU-NK,TU-NK,0.527,0,0,0,0,0,0,0,0,0,0,0.745,0,0,0,0
chip8_1851022116_site_35_S133,TU-NK,TU-NK,0,0,0,1.9,1.179,0,0,0,2.167,2.315,2.522,3.689,1.537,1.434,0,0
chip8_1851022116_site_36_S132,TU-NK,TU-NK,2.173,4.534,5.754,5.786,5.676,5.191,5.676,5.344,4.362,5.025,5.375,5.523,4.67,1,1.25,2.603
