,CellTypes
chip2_1851035011_site_26,TU-NK/NK
chip4_1851035024_site_27,TU-NK/TU-NK
chip2_1851035011_site_02,NK/NK
chip3_1851035015_site_29,TU-NK/TU-NK
chip1_1851035014_site_10,NK/NK
chip4_1851035024_site_44,TU/TU
chip1_1851035014_site_29,TU-NK/TU-NK
chip4_1851035024_site_33,TU-NK/TU-NK
chip1_1851035014_site_13,TU-NK/TU-NK
chip4_1851035024_site_15,TU-NK/TU-NK
chip3_1851035015_site_04,NK/NK
chip3_1851035015_site_34,TU-NK/TU-NK
chip5_1851027101_site_15,TU-NK/TU-NK
chip5_1851027101_site_11,NK/NK
chip6_1851027105_site_41,TU/TU
chip6_1851027105_site_19,TU-NK/TU-NK
chip6_1851027105_site_02,NK/NK
chip5_1851027101_site_01,NK/NK
chip8_1851022116_site_31,TU-NK/TU-NK
chip5_1851027101_site_37,TU/TU
chip5_1851027101_site_25,TU-NK/TU-NK
chip5_1851027101_site_18,TU-NK/TU-NK
chip5_1851027101_site_46,TU/TU
chip8_1851022116_site_47,TU/TU
chip8_1851022116_site_38,TU/TU
chip8_1851022116_site_37,TU/TU
chip6_1851027105_site_31,TU-NK/TU-NK
chip5_1851027101_site_48,TU/TU
chip8_1851022116_site_20,TU-NK/TU-NK
chip5_1851027101_site_29,TU-NK/TU-NK
chip8_1851022116_site_13,TU-NK/TU-NK
chip8_1851022116_site_28,TU-NK/TU-NK
chip8_1851022116_site_44,TU/TU
chip8_1851022116_site_36,TU-NK/TU-NK
chip5_1851027101_site_34,TU-NK/TU-NK
chip8_1851022116_site_07,NK/NK
chip6_1851027105_site_21,TU-NK/TU-NK
chip5_1851027101_site_35,TU-NK/TU-NK
chip8_1851022116_site_39,TU/TU
chip8_1851022116_site_43,TU/TU
chip5_1851027101_site_16,TU-NK/TU-NK
chip5_1851027101_site_47,TU/TU
chip6_1851027105_site_22,TU-NK/TU-NK
chip8_1851022116_site_34,TU-NK/TU-NK
chip6_1851027105_site_16,TU-NK/TU-NK
chip5_1851027101_site_21,TU-NK/TU-NK
chip8_1851022116_site_27,TU-NK/TU-NK
chip6_1851027105_site_13,TU-NK/TU-NK
chip5_1851027101_site_13,TU-NK/NK
chip6_1851027105_site_24,TU-NK/TU-NK
chip6_1851027105_site_27,TU-NK/TU-NK
chip8_1851022116_site_35,TU-NK/TU-NK
chip5_1851027101_site_17,TU-NK/TU-NK
chip6_1851027105_site_36,TU-NK/TU-NK
chip5_1851027101_site_31,TU-NK/TU-NK
chip5_1851027101_site_07,NK/NK
chip8_1851022116_site_02,NK/NK
chip5_1851027101_site_22,TU-NK/TU-NK
chip6_1851027105_site_08,NK/NK
chip5_1851027101_site_03,NK/NK
chip6_1851027105_site_38,TU/TU
chip6_1851027105_site_40,TU/TU
chip8_1851022116_site_05,NK/NK
chip5_1851027101_site_26,TU-NK/TU-NK
chip8_1851022116_site_30,TU-NK/TU-NK
chip6_1851027105_site_12,NK/NK
chip8_1851022116_site_45,TU/TU
chip6_1851027105_site_48,TU/TU
chip8_1851022116_site_08,NK/NK
chip8_1851022116_site_46,TU/TU
chip6_1851027105_site_17,TU-NK/TU-NK
chip6_1851027105_site_39,TU/TU
chip8_1851022116_site_09,NK/NK
chip8_1851022116_site_11,NK/NK
chip6_1851027105_site_29,TU-NK/TU-NK
chip6_1851027105_site_34,TU-NK/TU-NK
chip6_1851027105_site_23,TU-NK/TU-NK
chip5_1851027101_site_06,NK/NK
chip6_1851027105_site_18,NK/NK
chip5_1851027101_site_36,TU-NK/TU-NK
chip5_1851027101_site_39,TU/TU
chip6_1851027105_site_14,TU-NK/TU-NK
chip8_1851022116_site_22,TU-NK/TU-NK
chip6_1851027105_site_05,NK/NK
chip5_1851027101_site_43,TU/TU
chip8_1851022116_site_29,TU-NK/TU-NK
chip8_1851022116_site_15,TU-NK/TU-NK
chip6_1851027105_site_03,NK/NK
chip5_1851027101_site_23,TU-NK/TU-NK
chip8_1851022116_site_42,TU/TU
chip6_1851027105_site_01,NK/NK
