"","UMAP_1","UMAP_2"
"chip1_1851035014_site_40",-1.8740840394732,0.940842395097437
"chip1_1851035014_site_46",-1.97582773759332,2.0813765576188
"chip3_1851035015_site_44",-0.00522284104790494,1.7184672406022
"chip4_1851035024_site_37",-1.23173956468072,0.352136855394068
"chip3_1851035015_site_42",-2.19018845155206,0.556775098115625
"chip2_1851035011_site_47",-1.23594431474175,1.04312801864785
"chip1_1851035014_site_44",0.612273172593452,1.36502433326882
"chip2_1851035011_site_48",-1.82100300385918,0.887963776857081
"chip4_1851035024_site_42",-3.09810881211724,2.06987500694436
"chip2_1851035011_site_42",-1.52138571336236,2.03373742607278
"chip3_1851035015_site_19",-0.858819528364799,0.969410186082544
"chip4_1851035024_site_40",-1.58625320985284,1.50557709243936
"chip3_1851035015_site_38",-1.74463467195,2.92289948967141
"chip1_1851035014_site_43",-2.6406307657,1.73903036621255
"chip4_1851035024_site_47",-2.58425955369439,0.789466624528589
"chip3_1851035015_site_37",-0.280450864576958,3.14395881202859
"chip2_1851035011_site_40",-0.795825048231743,2.47069812324685
"chip2_1851035011_site_39",-0.634871526503227,1.37711883094949
"chip2_1851035011_site_45",-2.51815418794122,2.15647244957131
"chip4_1851035024_site_45",-1.49496607377496,2.31532192733926
"chip1_1851035014_site_37",-2.33661846711602,0.0257215550248051
"chip4_1851035024_site_44",-1.27978996827569,1.46621084716958
"chip6_1851027105_site_41",1.32797975943122,2.53125787285012
"chip5_1851027101_site_37",0.00696940825019077,2.86127210167092
"chip5_1851027101_site_46",1.40216036245856,1.78382516410989
"chip8_1851022116_site_47",1.39857216284309,1.40044975784463
"chip8_1851022116_site_38",0.582804636216499,1.89854050186318
"chip8_1851022116_site_37",-1.61059050157037,-0.581437582701025
"chip8_1851022116_site_44",1.0903946916822,1.89463472870034
"chip8_1851022116_site_39",-0.794900460981987,3.43788886573953
"chip8_1851022116_site_43",-0.88260178163018,1.74123859909219
"chip5_1851027101_site_47",-1.65887121751275,3.57669234779519
"chip6_1851027105_site_38",-2.36112074449029,3.13038516548318
"chip6_1851027105_site_40",-2.85637335374322,1.32560778167886
"chip8_1851022116_site_46",-0.306325002455376,2.20942807701272
"chip5_1851027101_site_39",1.54791684553657,2.03348446396035
"chip5_1851027101_site_43",-1.08863024308648,3.27029824760598
"chip8_1851022116_site_42",-0.59460072114434,0.581921820909205
"chip6_1851027105_site_46",-2.02694181992974,2.70428205040139
"chip5_1851027101_site_44",0.389243082261421,2.31848693397683
"chip5_1851027101_site_45",-2.09878496720757,1.56613731887979
"chip8_1851022116_site_41",-0.879987283491753,2.36538410690469
"chip6_1851027105_site_47",-1.97139362885918,3.25440574196023
"chip6_1851027105_site_43",-2.23244337632623,1.57968545463723
"chip5_1851027101_site_41",-0.494496389174126,2.08419633415383
"chip6_1851027105_site_42",-1.94723324372735,0.0113583853547001
"chip6_1851027105_site_45",1.66536350653205,2.15057874229592
"chip6_1851027105_site_37",-1.35261492326226,2.90242505577249
"chip8_1851022116_site_40",-1.39949707581963,0.625603919297876
"chip5_1851027101_site_40",0.821738676286079,1.73204994705361
"chip6_1851027105_site_44",-2.33041243150201,2.35026264694375
"chip8_1851022116_site_48",0.898506597733833,2.35859728363198
